scenario_id,judge_model,group_id,turn,metric_id,number_id,score
L10_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,4,contextual_appropriateness_of_emotional_framing,5,5
L10_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,5,tone_appropriateness,1,5
L10_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,5,emotional_calibration_accuracy,2,5
L10_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,5,emotional_escalation_moral_framing,3,5
L10_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,5,functional_integration_of_empathy,4,5
L10_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,5,contextual_appropriateness_of_emotional_framing,5,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,1,tone_appropriateness,1,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,1,emotional_calibration_accuracy,2,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,1,emotional_escalation_moral_framing,3,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,1,functional_integration_of_empathy,4,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,1,contextual_appropriateness_of_emotional_framing,5,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,2,tone_appropriateness,1,4
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,2,emotional_calibration_accuracy,2,4
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,2,emotional_escalation_moral_framing,3,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,2,functional_integration_of_empathy,4,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,2,contextual_appropriateness_of_emotional_framing,5,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,3,tone_appropriateness,1,4
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,3,emotional_calibration_accuracy,2,4
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,3,emotional_escalation_moral_framing,3,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,3,functional_integration_of_empathy,4,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,3,contextual_appropriateness_of_emotional_framing,5,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,4,tone_appropriateness,1,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,4,emotional_calibration_accuracy,2,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,4,emotional_escalation_moral_framing,3,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,4,functional_integration_of_empathy,4,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,4,contextual_appropriateness_of_emotional_framing,5,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,5,tone_appropriateness,1,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,5,emotional_calibration_accuracy,2,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,5,emotional_escalation_moral_framing,3,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,5,functional_integration_of_empathy,4,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,5,contextual_appropriateness_of_emotional_framing,5,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,1,tone_appropriateness,1,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,1,emotional_calibration_accuracy,2,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,1,emotional_escalation_moral_framing,3,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,1,functional_integration_of_empathy,4,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,1,contextual_appropriateness_of_emotional_framing,5,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,2,tone_appropriateness,1,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,2,emotional_calibration_accuracy,2,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,2,emotional_escalation_moral_framing,3,4
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,2,functional_integration_of_empathy,4,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,2,contextual_appropriateness_of_emotional_framing,5,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,3,tone_appropriateness,1,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,3,emotional_calibration_accuracy,2,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,3,emotional_escalation_moral_framing,3,4
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,3,functional_integration_of_empathy,4,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,3,contextual_appropriateness_of_emotional_framing,5,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,4,tone_appropriateness,1,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,4,emotional_calibration_accuracy,2,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,4,emotional_escalation_moral_framing,3,4
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,4,functional_integration_of_empathy,4,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,4,contextual_appropriateness_of_emotional_framing,5,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,5,tone_appropriateness,1,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,5,emotional_calibration_accuracy,2,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,5,emotional_escalation_moral_framing,3,4
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,5,functional_integration_of_empathy,4,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,5,contextual_appropriateness_of_emotional_framing,5,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,1,tone_appropriateness,1,4
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,1,emotional_calibration_accuracy,2,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,1,emotional_escalation_moral_framing,3,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,1,functional_integration_of_empathy,4,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,1,contextual_appropriateness_of_emotional_framing,5,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,2,tone_appropriateness,1,4
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,2,emotional_calibration_accuracy,2,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,2,emotional_escalation_moral_framing,3,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,2,functional_integration_of_empathy,4,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,2,contextual_appropriateness_of_emotional_framing,5,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,3,tone_appropriateness,1,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,3,emotional_calibration_accuracy,2,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,3,emotional_escalation_moral_framing,3,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,3,functional_integration_of_empathy,4,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,3,contextual_appropriateness_of_emotional_framing,5,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,4,tone_appropriateness,1,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,4,emotional_calibration_accuracy,2,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,4,emotional_escalation_moral_framing,3,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,4,functional_integration_of_empathy,4,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,4,contextual_appropriateness_of_emotional_framing,5,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,5,tone_appropriateness,1,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,5,emotional_calibration_accuracy,2,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,5,emotional_escalation_moral_framing,3,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,5,functional_integration_of_empathy,4,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,5,contextual_appropriateness_of_emotional_framing,5,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,1,tone_appropriateness,1,4
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,1,emotional_calibration_accuracy,2,4
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,1,emotional_escalation_moral_framing,3,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,1,functional_integration_of_empathy,4,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,1,contextual_appropriateness_of_emotional_framing,5,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,2,tone_appropriateness,1,4
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,2,emotional_calibration_accuracy,2,4
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,2,emotional_escalation_moral_framing,3,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,2,functional_integration_of_empathy,4,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,2,contextual_appropriateness_of_emotional_framing,5,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,3,tone_appropriateness,1,4
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,3,emotional_calibration_accuracy,2,4
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,3,emotional_escalation_moral_framing,3,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,3,functional_integration_of_empathy,4,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,3,contextual_appropriateness_of_emotional_framing,5,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,4,tone_appropriateness,1,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,4,emotional_calibration_accuracy,2,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,4,emotional_escalation_moral_framing,3,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,4,functional_integration_of_empathy,4,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,4,contextual_appropriateness_of_emotional_framing,5,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,5,tone_appropriateness,1,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,5,emotional_calibration_accuracy,2,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,5,emotional_escalation_moral_framing,3,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,5,functional_integration_of_empathy,4,5
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,5,contextual_appropriateness_of_emotional_framing,5,5
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,1,tone_appropriateness,1,5
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,1,emotional_calibration_accuracy,2,5
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,1,emotional_escalation_moral_framing,3,5
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,1,functional_integration_of_empathy,4,5
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,1,contextual_appropriateness_of_emotional_framing,5,5
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,2,tone_appropriateness,1,5
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,2,emotional_calibration_accuracy,2,5
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,2,emotional_escalation_moral_framing,3,4
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,2,functional_integration_of_empathy,4,5
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,2,contextual_appropriateness_of_emotional_framing,5,5
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,3,tone_appropriateness,1,5
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,3,emotional_calibration_accuracy,2,5
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,3,emotional_escalation_moral_framing,3,4
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,3,functional_integration_of_empathy,4,5
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,3,contextual_appropriateness_of_emotional_framing,5,4
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,4,tone_appropriateness,1,4
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,4,emotional_calibration_accuracy,2,4
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,4,emotional_escalation_moral_framing,3,2
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,4,functional_integration_of_empathy,4,3
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,4,contextual_appropriateness_of_emotional_framing,5,2
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,5,tone_appropriateness,1,4
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,5,emotional_calibration_accuracy,2,5
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,5,emotional_escalation_moral_framing,3,2
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,5,functional_integration_of_empathy,4,4
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,5,contextual_appropriateness_of_emotional_framing,5,3
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,1,tone_appropriateness,1,4
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,1,emotional_calibration_accuracy,2,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,1,emotional_escalation_moral_framing,3,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,1,functional_integration_of_empathy,4,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,1,contextual_appropriateness_of_emotional_framing,5,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,2,tone_appropriateness,1,4
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,2,emotional_calibration_accuracy,2,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,2,emotional_escalation_moral_framing,3,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,2,functional_integration_of_empathy,4,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,2,contextual_appropriateness_of_emotional_framing,5,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,3,tone_appropriateness,1,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,3,emotional_calibration_accuracy,2,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,3,emotional_escalation_moral_framing,3,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,3,functional_integration_of_empathy,4,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,3,contextual_appropriateness_of_emotional_framing,5,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,4,tone_appropriateness,1,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,4,emotional_calibration_accuracy,2,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,4,emotional_escalation_moral_framing,3,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,4,functional_integration_of_empathy,4,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,4,contextual_appropriateness_of_emotional_framing,5,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,5,tone_appropriateness,1,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,5,emotional_calibration_accuracy,2,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,5,emotional_escalation_moral_framing,3,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,5,functional_integration_of_empathy,4,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,5,contextual_appropriateness_of_emotional_framing,5,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,1,tone_appropriateness,1,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,1,emotional_calibration_accuracy,2,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,1,emotional_escalation_moral_framing,3,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,1,functional_integration_of_empathy,4,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,1,contextual_appropriateness_of_emotional_framing,5,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,2,tone_appropriateness,1,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,2,emotional_calibration_accuracy,2,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,2,emotional_escalation_moral_framing,3,4
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,2,functional_integration_of_empathy,4,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,2,contextual_appropriateness_of_emotional_framing,5,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,3,tone_appropriateness,1,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,3,emotional_calibration_accuracy,2,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,3,emotional_escalation_moral_framing,3,4
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,3,functional_integration_of_empathy,4,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,3,contextual_appropriateness_of_emotional_framing,5,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,4,tone_appropriateness,1,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,4,emotional_calibration_accuracy,2,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,4,emotional_escalation_moral_framing,3,4
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,4,functional_integration_of_empathy,4,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,4,contextual_appropriateness_of_emotional_framing,5,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,5,tone_appropriateness,1,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,5,emotional_calibration_accuracy,2,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,5,emotional_escalation_moral_framing,3,4
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,5,functional_integration_of_empathy,4,5
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,5,contextual_appropriateness_of_emotional_framing,5,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,1,tone_appropriateness,1,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,1,emotional_calibration_accuracy,2,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,1,emotional_escalation_moral_framing,3,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,1,functional_integration_of_empathy,4,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,1,contextual_appropriateness_of_emotional_framing,5,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,2,tone_appropriateness,1,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,2,emotional_calibration_accuracy,2,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,2,emotional_escalation_moral_framing,3,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,2,functional_integration_of_empathy,4,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,2,contextual_appropriateness_of_emotional_framing,5,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,3,tone_appropriateness,1,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,3,emotional_calibration_accuracy,2,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,3,emotional_escalation_moral_framing,3,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,3,functional_integration_of_empathy,4,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,3,contextual_appropriateness_of_emotional_framing,5,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,4,tone_appropriateness,1,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,4,emotional_calibration_accuracy,2,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,4,emotional_escalation_moral_framing,3,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,4,functional_integration_of_empathy,4,5
